Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0.022, 0.022, 0.032, 0.01, 1, 0.032, 0.067, 0.034, 473946, -1, 0.067, 0.141, 0.074, 667,     0.118,
 1, 0, 0.042, 0.042, 0.052, 0.01, 1, 0.052, 0.067, 0.015, 136146, -1, 0.067, 0.151, 0.084, 771,     0.109,
 2, 0, 0.052, 0.052, 0.052, 0, 1, 0.052, 0.12, 0.068, 679715, -1, 0.12, 0.199, 0.079, 788,     0.147,
 5, 0, 0.134, 0.134, 0.134, 0, 1, 0.134, 0.146, 0.012, 222149, -1, 0.146, 0.221, 0.075, 761,     0.087,
 6, 0, 0.164, 0.164, 0.164, 0, 1, 0.164, 0.183, 0.019, 354540, -1, 0.183, 0.221, 0.038, 466,     0.057,
 3, 0, 0.13, 0.13, 0.13, 0, 1, 0.13, 0.163, 0.033, 655979, -1, 0.163, 0.262, 0.1, 843,     0.133,
 7, 0, 0.169, 0.169, 0.169, 0, 1, 0.169, 0.201, 0.032, 643693, -1, 0.201, 0.262, 0.061, 446,     0.093,
 4, 0, 0.131, 0.131, 0.141, 0.01, 1, 0.141, 0.173, 0.032, 623617, -1, 0.173, 0.272, 0.099, 914,     0.142,
 9, 0, 0.211, 0.211, 0.221, 0.01, 1, 0.221, 0.233, 0.012, 235763, -1, 0.233, 0.292, 0.059, 546,     0.081,
 8, 0, 0.207, 0.207, 0.207, 0, 1, 0.207, 0.243, 0.036, 562267, -1, 0.243, 0.312, 0.069, 663,     0.105,
 11, 0, 0.248, 0.248, 0.248, 0, 1, 0.248, 0.264, 0.016, 309515, -1, 0.264, 0.345, 0.081, 826,     0.097,
 10, 0, 0.227, 0.227, 0.227, 0, 1, 0.227, 0.243, 0.016, 197052, -1, 0.243, 0.367, 0.124, 860,     0.140,
 12, 0, 0.262, 0.262, 0.272, 0.01, 1, 0.272, 0.284, 0.012, 226730, -1, 0.284, 0.367, 0.083, 827,     0.105,
 13, 0, 0.292, 0.292, 0.292, 0, 1, 0.292, 0.309, 0.017, 319861, -1, 0.309, 0.394, 0.085, 915,     0.101,
 16, 0, 0.357, 0.357, 0.367, 0.01, 1, 0.367, 0.382, 0.014, 285725, -1, 0.382, 0.455, 0.073, 616,     0.097,
 14, 0, 0.32, 0.32, 0.32, 0, 1, 0.32, 0.333, 0.013, 242071, -1, 0.333, 0.455, 0.122, 722,     0.134,
 15, 0, 0.335, 0.335, 0.335, 0, 1, 0.335, 0.363, 0.028, 545060, -1, 0.363, 0.455, 0.091, 557,     0.119,
 17, 0, 0.412, 0.412, 0.422, 0.01, 1, 0.422, 0.438, 0.016, 311129, -1, 0.438, 0.511, 0.073, 730,     0.099,
 18, 0, 0.455, 0.455, 0.465, 0.01, 1, 0.465, 0.488, 0.023, 447391, -1, 0.488, 0.536, 0.048, 467,     0.081,
 22, 0, 0.496, 0.496, 0.496, 0, 1, 0.496, 0.524, 0.029, 560179, -1, 0.524, 0.57, 0.045, 454,     0.074,
 19, 0, 0.483, 0.483, 0.493, 0.01, 1, 0.493, 0.541, 0.048, 471516, -1, 0.541, 0.593, 0.052, 574,     0.110,
 21, 0, 0.493, 0.493, 0.493, 0, 1, 0.493, 0.551, 0.058, 554253, -1, 0.551, 0.629, 0.078, 731,     0.136,
 24, 0, 0.554, 0.554, 0.554, 0, 1, 0.554, 0.589, 0.035, 608306, -1, 0.589, 0.649, 0.06, 621,     0.094,
 20, 0, 0.491, 0.491, 0.491, 0, 1, 0.491, 0.572, 0.081, 799774, -1, 0.572, 0.686, 0.114, 507,     0.194,
 25, 0, 0.589, 0.589, 0.589, 0, 1, 0.589, 0.604, 0.015, 288813, -1, 0.604, 0.696, 0.092, 921,     0.107,
 27, 0, 0.619, 0.619, 0.619, 0, 1, 0.619, 0.638, 0.019, 368107, -1, 0.638, 0.716, 0.078, 797,     0.096,
 28, 0, 0.66, 0.66, 0.66, 0, 1, 0.66, 0.677, 0.017, 329207, -1, 0.677, 0.726, 0.049, 412,     0.066,
 26, 0, 0.619, 0.619, 0.629, 0.01, 1, 0.629, 0.659, 0.03, 590758, -1, 0.659, 0.746, 0.087, 820,     0.127,
 23, 0, 0.536, 0.536, 0.546, 0.01, 1, 0.546, 0.582, 0.036, 286724, -1, 0.582, 0.766, 0.184, 738,     0.230,
 40, 0, 0.727, 0.727, 0.727, 0, 1, 0.727, 0.745, 0.018, 104478, -1, 0.745, 0.805, 0.06, 691,     0.078,
 29, 0, 0.667, 0.667, 0.667, 0, 1, 0.667, 0.677, 0.01, 109278, -1, 0.677, 0.805, 0.128, 542,     0.138,
 31, 0, 0.677, 0.677, 0.677, 0, 1, 0.677, 0.703, 0.026, 311315, -1, 0.703, 0.817, 0.114, 913,     0.140,
 36, 0, 0.69, 0.69, 0.69, 0, 1, 0.69, 0.703, 0.013, 117484, -1, 0.703, 0.817, 0.114, 908,     0.127,
 35, 0, 0.687, 0.687, 0.687, 0, 1, 0.687, 0.75, 0.063, 527811, -1, 0.75, 0.83, 0.08, 841,     0.143,
 39, 0, 0.723, 0.723, 0.723, 0, 1, 0.723, 0.781, 0.059, 446976, -1, 0.781, 0.83, 0.048, 428,     0.107,
 34, 0, 0.685, 0.685, 0.686, 0.001, 1, 0.686, 0.76, 0.074, 585543, -1, 0.76, 0.83, 0.07, 637,     0.145,
 33, 0, 0.683, 0.683, 0.683, 0, 1, 0.683, 0.76, 0.078, 591250, -1, 0.76, 0.882, 0.122, 777,     0.200,
 38, 0, 0.721, 0.721, 0.721, 0, 1, 0.721, 0.801, 0.08, 505534, -1, 0.801, 0.893, 0.091, 752,     0.171,
 32, 0, 0.68, 0.68, 0.68, 0, 1, 0.68, 0.792, 0.111, 789471, -1, 0.792, 0.893, 0.101, 629,     0.212,
 41, 0, 0.728, 0.728, 0.728, 0, 1, 0.728, 0.822, 0.094, 476175, -1, 0.822, 0.893, 0.071, 698,     0.164,
 37, 0, 0.703, 0.703, 0.703, 0, 1, 0.703, 0.772, 0.069, 670501, -1, 0.772, 0.904, 0.132, 913,     0.201,
 45, 0, 0.793, 0.793, 0.793, 0, 1, 0.793, 0.864, 0.071, 569945, -1, 0.864, 0.919, 0.055, 570,     0.127,
 30, 0, 0.676, 0.676, 0.685, 0.009, 1, 0.685, 0.771, 0.087, 662259, -1, 0.771, 0.933, 0.162, 439,     0.258,
 49, 0, 0.823, 0.823, 0.823, 0, 1, 0.823, 0.864, 0.041, 313242, -1, 0.864, 0.964, 0.1, 478,     0.141,
 43, 0, 0.745, 0.745, 0.745, 0, 1, 0.745, 0.884, 0.139, 774386, -1, 0.884, 0.974, 0.09, 900,     0.229,
 44, 0, 0.745, 0.745, 0.745, 0, 1, 0.745, 0.864, 0.119, 590856, -1, 0.864, 0.994, 0.13, 962,     0.249,
 48, 0, 0.812, 0.812, 0.812, 0, 1, 0.812, 0.88, 0.069, 166910, -1, 0.88, 0.994, 0.114, 672,     0.182,
 47, 0, 0.809, 0.809, 0.809, 0, 1, 0.809, 0.873, 0.064, 348400, -1, 0.873, 0.994, 0.121, 952,     0.185,
 53, 0, 0.88, 0.88, 0.88, 0, 1, 0.88, 0.933, 0.053, 447224, -1, 0.933, 1.015, 0.082, 820,     0.135,
 50, 0, 0.84, 0.84, 0.85, 0.01, 1, 0.85, 0.873, 0.022, 167877, -1, 0.873, 1.033, 0.16, 520,     0.192,
 54, 0, 0.893, 0.893, 0.893, 0, 1, 0.893, 0.976, 0.083, 548522, -1, 0.976, 1.043, 0.066, 614,     0.150,
 51, 0, 0.841, 0.841, 0.841, 0, 1, 0.841, 0.904, 0.063, 402302, -1, 0.904, 1.043, 0.139, 668,     0.202,
 52, 0, 0.862, 0.862, 0.872, 0.01, 1, 0.872, 0.944, 0.071, 507090, -1, 0.944, 1.063, 0.119, 401,     0.201,
 42, 0, 0.737, 0.737, 0.737, 0, 1, 0.737, 0.873, 0.136, 688745, -1, 0.873, 1.073, 0.2, 785,     0.336,
 58, 0, 0.974, 0.974, 0.976, 0.002, 1, 0.976, 1.033, 0.057, 788921, -1, 1.033, 1.093, 0.06, 565,     0.119,
 62, 0, 1.02, 1.02, 1.02, 0, 1, 1.02, 1.043, 0.023, 419770, -1, 1.043, 1.113, 0.07, 619,     0.093,
 60, 0, 0.982, 0.982, 0.982, 0, 1, 0.982, 0.992, 0.01, 153056, -1, 0.992, 1.133, 0.141, 849,     0.151,
 57, 0, 0.95, 0.95, 0.95, 0, 1, 0.95, 0.981, 0.031, 289167, -1, 0.981, 1.143, 0.162, 998,     0.193,
 56, 0, 0.912, 0.912, 0.912, 0, 1, 0.912, 0.971, 0.059, 336330, -1, 0.971, 1.163, 0.192, 968,     0.251,
